,Ticker,Shares
0,UNH,89.16154725323742
1,CL,639.61463609609
2,PEP,291.1925555427947
3,MRK,460.21355100875564
4,LMT,105.99032824819047
5,KO,841.5801651625225
6,ABBV,333.03775996402265
7,PG,316.5933893683806
8,MO,1174.0304983360263
9,ACN,161.44422817652998
10,BMY,922.0434645468305
11,LLY,83.68605523393371
12,PFE,1567.6542211665953
13,PM,528.6355059926005
14,UNP,229.61480494313065
15,T.TO,1524.416733474014
16,AAPL,277.86121924136785
17,RY.TO,309.53467345392954
18,BIIB,199.21051482042122
19,TD.TO,441.58515368338306
20,AIG,774.6676648856567
21,BK,1116.0776426009713
