Ticker,Price,Currency,Shares,Weight
AMZN,183.99745687193536,USD,185.2792406507923,0.04545454545454545
BMY,66.18053321351317,USD,515.1198915385618,0.04545454545454545
T.TO,20.221773147583008,CAD,1685.8516235003742,0.04545454545454545
RY.TO,105.10741424560547,CAD,324.34352358101535,0.04545454545454545
C,51.017373495814354,USD,668.2215636543114,0.04545454545454545
PYPL,70.77891310174937,USD,481.65346989577466,0.04545454545454545
KO,74.39689898107554,USD,458.23024289736657,0.04545454545454545
TD.TO,71.51439666748047,CAD,476.69994685715005,0.04545454545454545
SHOP.TO,64.86000061035156,CAD,525.6075974422397,0.04545454545454545
UPS,178.87453099107006,USD,190.58559595949973,0.04545454545454545
BIIB,328.8827953571763,USD,103.65671166801343,0.04545454545454545
MRK,136.40485917199385,USD,249.92444769085256,0.04545454545454545
TXN,188.01137771218237,USD,181.3236491628567,0.04545454545454545
ABBV,188.01446645020587,USD,181.32067034287383,0.04545454545454545
AXP,195.17978861550546,USD,174.66413573214027,0.04545454545454545
AAPL,234.38285552797424,USD,145.4496704296712,0.04545454545454545
CL,99.65661969305711,USD,342.0837391024225,0.04545454545454545
BAC,34.24319360784784,USD,995.5528529645128,0.04545454545454545
LMT,593.724035026793,USD,57.41877889341412,0.04545454545454545
ACN,399.39714006483337,USD,85.35591688356901,0.04545454545454545
ABT,125.75825422958314,USD,271.0828748359772,0.04545454545454545
BK,56.731496527822856,USD,600.916795385256,0.04545454545454545
